Age,Department,JobRole,Attrition,Attrition_Binary,MonthlyIncome,SalaryBand,YearsAtCompany,TenureBand,OverTime,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,BusinessTravel,MaritalStatus,Gender,JobLevel,NumCompaniesWorked,TotalWorkingYears,YearsInCurrentRole,StockOptionLevel
41,Sales,Sales Executive,Yes,1,5993,Mid (3-6K),6,6-10 yrs,Yes,4,2,1,1,Travel_Rarely,Single,Female,2,8,8,4,0
49,Research & Development,Research Scientist,No,0,5130,Mid (3-6K),10,6-10 yrs,No,2,3,3,4,Travel_Frequently,Married,Male,2,1,10,7,1
37,Research & Development,Laboratory Technician,Yes,1,2090,Low (<3K),0,0-2 yrs,Yes,3,4,3,2,Travel_Rarely,Single,Male,1,6,7,0,0
33,Research & Development,Research Scientist,No,0,2909,Low (<3K),8,6-10 yrs,Yes,3,4,3,3,Travel_Frequently,Married,Female,1,1,8,7,0
27,Research & Development,Laboratory Technician,No,0,3468,Mid (3-6K),2,0-2 yrs,No,2,1,3,4,Travel_Rarely,Married,Male,1,9,6,2,1
32,Research & Development,Laboratory Technician,No,0,3068,Mid (3-6K),7,6-10 yrs,No,4,4,2,3,Travel_Frequently,Single,Male,1,0,8,7,0
59,Research & Development,Laboratory Technician,No,0,2670,Low (<3K),1,0-2 yrs,Yes,1,3,2,1,Travel_Rarely,Married,Female,1,4,12,0,3
30,Research & Development,Laboratory Technician,No,0,2693,Low (<3K),1,0-2 yrs,No,3,4,3,2,Travel_Rarely,Divorced,Male,1,1,1,0,1
38,Research & Development,Manufacturing Director,No,0,9526,High (6-10K),9,6-10 yrs,No,3,4,3,2,Travel_Frequently,Single,Male,3,0,10,7,0
36,Research & Development,Healthcare Representative,No,0,5237,Mid (3-6K),7,6-10 yrs,No,3,3,2,2,Travel_Rarely,Married,Male,2,6,17,7,2
35,Research & Development,Laboratory Technician,No,0,2426,Low (<3K),5,3-5 yrs,No,2,1,3,3,Travel_Rarely,Married,Male,1,0,6,4,1
29,Research & Development,Laboratory Technician,No,0,4193,Mid (3-6K),9,6-10 yrs,Yes,3,4,3,4,Travel_Rarely,Single,Female,2,0,10,5,0
31,Research & Development,Research Scientist,No,0,2911,Low (<3K),5,3-5 yrs,No,3,1,2,4,Travel_Rarely,Divorced,Male,1,1,5,2,1
34,Research & Development,Laboratory Technician,No,0,2661,Low (<3K),2,0-2 yrs,No,4,2,3,3,Travel_Rarely,Divorced,Male,1,0,3,2,1
28,Research & Development,Laboratory Technician,Yes,1,2028,Low (<3K),4,3-5 yrs,Yes,3,3,3,2,Travel_Rarely,Single,Male,1,5,6,2,0
29,Research & Development,Manufacturing Director,No,0,9980,High (6-10K),10,6-10 yrs,No,1,2,3,3,Travel_Rarely,Divorced,Female,3,1,10,9,1
32,Research & Development,Research Scientist,No,0,3298,Mid (3-6K),6,6-10 yrs,Yes,2,1,2,4,Travel_Rarely,Divorced,Male,1,0,7,2,2
22,Research & Development,Laboratory Technician,No,0,2935,Low (<3K),1,0-2 yrs,Yes,4,4,2,2,Non-Travel,Divorced,Male,1,1,1,0,2
53,Sales,Manager,No,0,15427,Very High (10K+),25,10+ yrs,No,4,1,3,3,Travel_Rarely,Married,Female,4,2,31,8,0
38,Research & Development,Research Scientist,No,0,3944,Mid (3-6K),3,3-5 yrs,Yes,4,4,3,3,Travel_Rarely,Single,Male,1,5,6,2,0
24,Research & Development,Manufacturing Director,No,0,4011,Mid (3-6K),4,3-5 yrs,No,3,1,2,4,Non-Travel,Divorced,Female,2,0,5,2,1
36,Sales,Sales Representative,Yes,1,3407,Mid (3-6K),5,3-5 yrs,No,1,3,3,2,Travel_Rarely,Single,Male,1,7,10,3,0
34,Research & Development,Research Director,No,0,11994,Very High (10K+),12,10+ yrs,No,2,1,3,3,Travel_Rarely,Single,Female,3,0,13,6,0
21,Research & Development,Research Scientist,No,0,1232,Low (<3K),0,0-2 yrs,No,4,3,3,4,Travel_Rarely,Single,Male,1,1,0,0,0
34,Research & Development,Research Scientist,Yes,1,2960,Low (<3K),4,3-5 yrs,No,1,2,3,3,Travel_Rarely,Single,Male,1,2,8,2,0
53,Research & Development,Manager,No,0,19094,Very High (10K+),14,10+ yrs,No,3,3,2,4,Travel_Rarely,Divorced,Female,5,4,26,13,1
32,Research & Development,Research Scientist,Yes,1,3919,Mid (3-6K),10,6-10 yrs,Yes,1,2,3,2,Travel_Frequently,Single,Female,1,1,10,2,0
42,Sales,Sales Executive,No,0,6825,High (6-10K),9,6-10 yrs,No,2,3,3,4,Travel_Rarely,Married,Male,2,0,10,7,1
44,Research & Development,Healthcare Representative,No,0,10248,Very High (10K+),22,10+ yrs,No,4,1,3,4,Travel_Rarely,Married,Female,3,3,24,6,1
46,Sales,Manager,No,0,18947,Very High (10K+),2,0-2 yrs,No,1,2,2,4,Travel_Rarely,Single,Female,5,3,22,2,0
33,Research & Development,Laboratory Technician,No,0,2496,Low (<3K),1,0-2 yrs,No,4,3,3,4,Travel_Rarely,Single,Male,1,4,7,1,0
44,Research & Development,Healthcare Representative,No,0,6465,High (6-10K),4,3-5 yrs,Yes,4,4,4,4,Travel_Rarely,Married,Male,2,2,9,2,0
30,Research & Development,Laboratory Technician,No,0,2206,Low (<3K),10,6-10 yrs,No,3,4,3,1,Travel_Rarely,Single,Male,1,1,10,0,0
